"","Array","Species","ID","Location","Order","Trial","Session"
"322","Zarray","Japanese macaque","Rudy","1004",7,4,1
"323","Zarray","Japanese macaque","Rudy","6",1,5,1
"324","Zarray","Japanese macaque","Rudy","4",2,5,1
"325","Zarray","Japanese macaque","Rudy","3",3,5,1
"326","Zarray","Japanese macaque","Rudy","2",4,5,1
"327","Zarray","Japanese macaque","Rudy","1",5,5,1
"328","Zarray","Japanese macaque","Rudy","5",6,5,1
"329","Zarray","Japanese macaque","Rudy","1005",7,5,1
"330","Zarray","Japanese macaque","Rudy","6",1,6,1
"331","Zarray","Japanese macaque","Rudy","5",2,6,1
"332","Zarray","Japanese macaque","Rudy","4",3,6,1
"333","Zarray","Japanese macaque","Rudy","3",4,6,1
"334","Zarray","Japanese macaque","Rudy","2",5,6,1
"335","Zarray","Japanese macaque","Rudy","1",6,6,1
"336","Zarray","Japanese macaque","Rudy","1006",7,6,1
"337","Zarray","Japanese macaque","Rudy","6",1,7,1
"338","Zarray","Japanese macaque","Rudy","5",2,7,1
"339","Zarray","Japanese macaque","Rudy","4",3,7,1
"340","Zarray","Japanese macaque","Rudy","3",4,7,1
"341","Zarray","Japanese macaque","Rudy","1",5,7,1
"342","Zarray","Japanese macaque","Rudy","2",6,7,1
"343","Zarray","Japanese macaque","Rudy","1007",7,7,1
"344","Zarray","Japanese macaque","Rudy","6",1,8,1
"345","Zarray","Japanese macaque","Rudy","4",2,8,1
"346","Zarray","Japanese macaque","Rudy","5",3,8,1
"347","Zarray","Japanese macaque","Rudy","3",4,8,1
"348","Zarray","Japanese macaque","Rudy","2",5,8,1
"349","Zarray","Japanese macaque","Rudy","1",6,8,1
"350","Zarray","Japanese macaque","Rudy","1008",7,8,1
"351","Zarray","Japanese macaque","Rudy","6",1,9,1
"352","Zarray","Japanese macaque","Rudy","4",2,9,1
"353","Zarray","Japanese macaque","Rudy","3",3,9,1
"354","Zarray","Japanese macaque","Rudy","2",4,9,1
"355","Zarray","Japanese macaque","Rudy","1",5,9,1
"356","Zarray","Japanese macaque","Rudy","5",6,9,1
"357","Zarray","Japanese macaque","Rudy","1009",7,9,1
"358","Zarray","Japanese macaque","Rudy","6",1,10,1
"359","Zarray","Japanese macaque","Rudy","5",2,10,1
"360","Zarray","Japanese macaque","Rudy","4",3,10,1
"361","Zarray","Japanese macaque","Rudy","3",4,10,1
"362","Zarray","Japanese macaque","Rudy","2",5,10,1
"363","Zarray","Japanese macaque","Rudy","1",6,10,1
"364","Zarray","Japanese macaque","Rudy","1010",7,10,1
"365","Zarray","Japanese macaque","Rudy","6",1,11,1
"366","Zarray","Japanese macaque","Rudy","5",2,11,1
"367","Zarray","Japanese macaque","Rudy","4",3,11,1
"368","Zarray","Japanese macaque","Rudy","3",4,11,1
"369","Zarray","Japanese macaque","Rudy","2",5,11,1
"370","Zarray","Japanese macaque","Rudy","1",6,11,1
"371","Zarray","Japanese macaque","Rudy","1011",7,11,1
"372","Zarray","Japanese macaque","Rudy","6",1,12,1
"373","Zarray","Japanese macaque","Rudy","5",2,12,1
"374","Zarray","Japanese macaque","Rudy","4",3,12,1
"375","Zarray","Japanese macaque","Rudy","3",4,12,1
"376","Zarray","Japanese macaque","Rudy","2",5,12,1
"377","Zarray","Japanese macaque","Rudy","1",6,12,1
