Array,Species,ID,Trial,Session,Dist (m),**Sessions cut off at <2 hours between successive trials.,,,
DT,Vervet,JK,543126,27,,,,,
DT,Vervet,JK,54216,27,,,,,
DT,Vervet,JK,543126,27,,,,,
DT,Vervet,JK,654123,27,,,,,
DT,Vervet,JK,543216,28,,,,,
DT,Vervet,JK,345612,29,,,,,
DT,Vervet,JK,341265,29,,,,,
DT,Vervet,JK,321456,30,,,,,
DT,Vervet,JK,543216,30,,,,,
DT,Vervet,JK,541263,30,,,,,
DT,Vervet,JK,412563,30,,,,,
DT,Vervet,JK,541263,30,,,,,
DT,Vervet,JK,543126,31,,,,,
DT,Vervet,JK,541236,31,,,,,
DT,Vervet,JK,543216,31,,,,,
DT,Vervet,JK,543216,31,,,,,
DT,Vervet,JK,543216,32,,,,,
DT,Vervet,JK,541263,33,,,,,
DT,Vervet,JK,543216,33,,,,,
DT,Vervet,JK,543216,33,,,,,
DT,Vervet,JK,543216,33,,,,,
DT,Vervet,JK,5412653,33,,,,,
DT,Vervet,JK,345612,33,,,,,
DT,Vervet,JK,216543,34,,,,,
DT,Vervet,JK,341265,34,,,,,
DT,Vervet,JK,341265,34,,,,,
DT,Vervet,JK,341265,34,,,,,
DT,Vervet,JK,341265,34,,,,,
DT,Vervet,JK,541263,35,,,,,
DT,Vervet,JK,543126,35,,,,,
DT,Vervet,JK,345126,36,,,,,
DT,Vervet,JK,541236,37,,,,,
DT,Vervet,JK,543216,37,,,,,
DT,Vervet,JK,541236,37,,,,,
DT,Vervet,JK,412563,38,,,,,
DT,Vervet,JK,541263,38,,,,,
DT,Vervet,JK,541236,38,,,,,
DT,Vervet,JK,541236,38,,,,,
DT,Vervet,JK,541236,39,,,,,
DT,Vervet,JK,341256,39,,,,,
DT,Vervet,JK,412356,39,,,,,
DT,Vervet,JK,541263,40,,,,,
DT,Vervet,JK,54216,40,,,,,
DT,Vervet,JK,541236,40,,,,,
DT,Vervet,JK,216543,41,,,,,
DT,Vervet,JK,614532,41,,,,,
DT,Vervet,JK,614325,41,,,,,
DT,Vervet,JK,34126,41,,,,,
DT,Vervet,JK,541236,42,,,,,
DT,Vervet,JK,345126,42,,,,,
DT,Vervet,JK,341256,42,,,,,
DT,Vervet,JK,541236,42,,,,,
DT,Vervet,JK,543216,43,,,,,
DT,Vervet,JK,542143,43,,,,,
DT,Vervet,JK,541263,43,,,,,
DT,Vervet,JK,51235,43,,,,,
DT,Vervet,JK,541263,43,,,,,
DT,Vervet,JK,541236,43,,,,,
DT,Vervet,JK,341256,44,,,,,
DT,Vervet,JK,341256,44,,,,,
DT,Vervet,JK,341265,44,,,,,
DT,Vervet,JK,541263,44,,,,,
DT,Vervet,JK,341265,44,,,,,
DT,Vervet,JK,341256,44,,,,,
DT,Vervet,JK,214563,44,,,,,
DT,Vervet,LP,512436,1,,,,,
DT,Vervet,LP,541623,2,,,,,
DT,Vervet,LP,6124543,3,,,,,
DT,Vervet,MA,214356,1,,,,,
DT,Vervet,MA,214563,2,,,,,
DT,Vervet,NM,341256,1,,,,,
DT,Vervet,NM,214356,2,,,,,
DT,Vervet,NM,543126,3,,,,,
DT,Vervet,NM,543216,3,,,,,
DT,Vervet,NM,561243,4,,,,,
DT,Vervet,NM,216543,4,,,,,
DT,Vervet,NM,341256,5,,,,,
